State,Start Date,Quarter,Colonies,Max Colonies,Lost,Percent Lost,Added,Renovated,Percent Renovated
California,"April 1, 2024",April-June 2024,890000,930000,54000,6,148000,113000,12
Colorado,"April 1, 2024",April-June 2024,10500,18500,290,2,1100,450,2
Connecticut,"April 1, 2024",April-June 2024,4100,4100,140,3,960,770,19
Florida,"April 1, 2024",April-June 2024,280000,285000,42000,15,60000,11000,4
Georgia,"April 1, 2024",April-June 2024,131000,133000,13000,10,16000,10500,8
Idaho,"April 1, 2024",April-June 2024,112000,130000,8000,6,26000,29000,22
Illinois,"April 1, 2024",April-June 2024,8500,8500,800,9,4000,1700,20
Indiana,"April 1, 2024",April-June 2024,9500,10000,420,4,3200,1000,10
Iowa,"April 1, 2024",April-June 2024,45000,46000,3300,7,6000,9000,20
Kansas,"April 1, 2024",April-June 2024,3900,6000,480,8,2100,960,16
Kentucky,"April 1, 2024",April-June 2024,7000,17000,1200,7,1000,600,4
Louisiana,"April 1, 2024",April-June 2024,36000,36000,1800,5,3700,300,1
Maine,"April 1, 2024",April-June 2024,1500,9500,850,9,1100,370,4
Maryland,"April 1, 2024",April-June 2024,6000,6000,320,5,2900,700,12
Massachusetts,"April 1, 2024",April-June 2024,4900,5500,220,4,790,630,11
Michigan,"April 1, 2024",April-June 2024,87000,95000,8000,8,21000,15500,16
Minnesota,"April 1, 2024",April-June 2024,86000,112000,1800,2,20000,11000,10
Mississippi,"April 1, 2024",April-June 2024,49000,49000,5000,10,13500,6000,12
Missouri,"April 1, 2024",April-June 2024,10500,10500,540,5,2000,480,5
Montana,"April 1, 2024",April-June 2024,20000,92000,520,1,11000,10000,11
Nebraska,"April 1, 2024",April-June 2024,11000,24000,1200,5,10500,9500,40
New Jersey,"April 1, 2024",April-June 2024,14500,15000,710,5,2300,640,4
New Mexico,"April 1, 2024",April-June 2024,2000,2000,290,15,1100,540,27
New York,"April 1, 2024",April-June 2024,31000,50000,1600,3,3500,3000,6
North Carolina,"April 1, 2024",April-June 2024,26000,26000,1700,7,6000,5000,19
North Dakota,"April 1, 2024",April-June 2024,49000,395000,16000,4,7000,22000,6
Ohio,"April 1, 2024",April-June 2024,26000,26000,660,3,4900,4700,18
Oklahoma,"April 1, 2024",April-June 2024,13000,15500,1300,8,7500,4100,26
Oregon,"April 1, 2024",April-June 2024,95000,105000,9000,9,21000,13500,13
Pennsylvania,"April 1, 2024",April-June 2024,22000,25000,1600,6,5500,1500,6
South Carolina,"April 1, 2024",April-June 2024,13500,14500,430,3,2200,4900,34
South Dakota,"April 1, 2024",April-June 2024,16500,183000,5500,3,16500,1900,1
Tennessee,"April 1, 2024",April-June 2024,10500,12000,800,7,1400,670,6
Texas,"April 1, 2024",April-June 2024,285000,295000,43000,15,98000,173000,59
Utah,"April 1, 2024",April-June 2024,16500,20000,1500,8,4400,2000,10
Vermont,"April 1, 2024",April-June 2024,8000,8000,130,2,270,320,4
Virginia,"April 1, 2024",April-June 2024,9000,9500,450,5,3000,2000,21
Washington,"April 1, 2024",April-June 2024,106000,128000,35000,27,20000,24000,19
West Virginia,"April 1, 2024",April-June 2024,6500,6500,380,6,1100,520,8
Wisconsin,"April 1, 2024",April-June 2024,55000,67000,3800,6,20000,11000,16
Wyoming,"April 1, 2024",April-June 2024,12000,21000,1400,7,7500,1800,9
Other States,"April 1, 2024",April-June 2024,5,16970,23710,1460,6,3000,2110
United States,"April 1, 2024",April-June 2024,2709370,(X),288190,11,617420,521790,19
